   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  1053914    2.414    0.000    2.414    0.000 /home/vered/work/bgu-ailab-bandits/SOS/model.py:59(id)
  1053914    1.838    0.000    6.219    0.000 /home/vered/work/bgu-ailab-bandits/SOS/model.py:99(__getitem__)
  1056453    1.702    0.000    2.155    0.000 /home/vered/work/bgu-ailab-bandits/SOS/model.py:38(__someMoves)
554400/69300    1.611    0.000   13.325    0.000 /home/vered/work/bgu-ailab-bandits/SOS/agents.py:90(__simulate)
  1529468    0.915    0.000    1.188    0.000 /home/vered/work/bgu-ailab-bandits/SOS/model.py:103(<genexpr>)
   485100    0.670    0.000    6.438    0.000 /home/vered/work/bgu-ailab-bandits/SOS/agents.py:45(selectAllThenThis)
   917133    0.447    0.000    2.325    0.000 /home/vered/work/bgu-ailab-bandits/SOS/model.py:41(availableMoves)
  1056873    0.340    0.000    0.340    0.000 {range}
   556560    0.274    0.000    1.700    0.000 /home/vered/work/bgu-ailab-bandits/SOS/model.py:143(isFinalState)
  1214697    0.273    0.000    0.273    0.000 /home/vered/work/bgu-ailab-bandits/SOS/model.py:76(__init__)
   488700    0.269    0.000    0.269    0.000 /home/vered/work/bgu-ailab-bandits/SOS/model.py:43(__move)
   415800    0.198    0.000    5.374    0.000 /home/vered/work/bgu-ailab-bandits/SOS/agents.py:67(<lambda>)
   268046    0.188    0.000    0.298    0.000 /home/vered/work/bgu-ailab-bandits/SOS/agents.py:149(ucb)
      360    0.185    0.001   13.978    0.039 /home/vered/work/bgu-ailab-bandits/SOS/model.py:146(play)
   485100    0.184    0.000    0.184    0.000 /home/vered/work/bgu-ailab-bandits/SOS/model.py:81(updateValue)
   176005    0.178    0.000    0.368    0.000 {sum}
   532129    0.160    0.000    0.160    0.000 {method 'items' of 'dict' objects}
   835920    0.154    0.000    0.154    0.000 /home/vered/work/bgu-ailab-bandits/SOS/model.py:158(<genexpr>)
    36685    0.146    0.000    0.932    0.000 /home/vered/work/bgu-ailab-bandits/SOS/agents.py:145(selectUCB)
   260100    0.139    0.000    0.282    0.000 /home/vered/work/bgu-ailab-bandits/SOS/model.py:53(whiteMove)
  1214095    0.129    0.000    0.129    0.000 {len}
   228600    0.124    0.000    0.250    0.000 /home/vered/work/bgu-ailab-bandits/SOS/model.py:54(blackMove)
    69660    0.122    0.000    0.866    0.000 /home/vered/work/bgu-ailab-bandits/SOS/model.py:160(scoreBonus)
   485100    0.119    0.000    0.119    0.000 /home/vered/work/bgu-ailab-bandits/SOS/model.py:51(isWhiteTurn)
   139320    0.105    0.000    0.400    0.000 /home/vered/work/bgu-ailab-bandits/SOS/model.py:156(__score)
   134023    0.097    0.000    0.394    0.000 /home/vered/work/bgu-ailab-bandits/SOS/agents.py:151(<lambda>)
     3600    0.093    0.000   13.775    0.004 /home/vered/work/bgu-ailab-bandits/SOS/agents.py:70(selectMove)
   384852    0.093    0.000    0.093    0.000 /home/vered/work/bgu-ailab-bandits/SOS/model.py:86(getAvgValue)
    69300    0.084    0.000    0.142    0.000 /home/vered/work/bgu-ailab-bandits/SOS/model.py:31(__copy__)
    69300    0.069    0.000    0.301    0.000 /usr/lib/python2.7/copy.py:66(copy)
    69300    0.060    0.000    0.221    0.000 /usr/lib/python2.7/copy.py:123(_copy_inst)
    47029    0.059    0.000    0.529    0.000 {reduce}
    69660    0.050    0.000    0.050    0.000 /home/vered/work/bgu-ailab-bandits/SOS/model.py:25(__init__)
